,date,type,operator,fatalities,location,country,year
12823,30-SEP-1974,Grumman G-73 Mallard,U.S. Dept of Interior,4.0,near Alaska,Pacific Ocean,1974
12825,01-OCT-1974,Volpar Turboliner,Winship Air Services,6.0,"Lupine Airstrip, AK",USA,1974
12826,02-OCT-1974,BN-2A Islander,North Cay Airways,2.0,near Saint Thomas,U.S. Virgin Isl.,1974
12828,04-OCT-1974,Douglas DC-6B,DAT,0.0,Southend Municip...,U.K.,1974
12830,08-OCT-1974,Douglas DC-3,Khmer Airlines,0.0,Krakor Airport (...,Cambodia,1974
12831,09-OCT-1974,Douglas Tp 79 (C-47-DL),Swedish AF,0.0,NykAping Airpor...,Sweden,1974
12833,11-OCT-1974,Fairchild C-123K Provider,Khmer Air Force,2.0,Svay Rieng province,Cambodia,1974
12834,13-OCT-1974,Lockheed WC-130H Hercules,USAF,6.0,"near Clark Air Base, ...",Pacific Ocean,1974
12835,15-OCT-1974,Curtiss C-46D,Royal Air Lao,5.0,near Vientiane,Laos,1974
12836,18-OCT-1974,Antonov An-12B,"Aeroflot, East Siberia",1.0,near Yeniseysk Airpor...,Russia,1974
12837,18-OCT-1974,C-115 Buffalo (DHC-5),Brazilian AF,2.0,near Rio de Janeiro-A...,Brazil,1974
12838,19-OCT-1974,Douglas C-47B (DC-3),Mabuhay Airways,1.0,near Calapan Airport ...,Philippines,1974
12839,20-OCT-1974,Antonov An-2R,Aviatia Utilitara,1.0,Topraisar,Romania,1974
12840,22-OCT-1974,Douglas C-47A (DC-3),Projeto Rondon,9.0,"Bias Fortes, MG",Brazil,1974
12841,27-OCT-1974,Lockheed L-100 Hercules,Alaska Int. Air,4.0,"near Old Man's Camp, AK",USA,1974
12842,30-OCT-1974,Lockheed L-188PF Electra,Panarctic Oils,32.0,near Rea Point Airfie...,Canada,1974
12843,??-OCT-1974,BN-2 Islander,Air Inter Gabon,0.0,Port Gentil Airp...,Gabon,1974
12844,01-NOV-1974,Handley Page Jetstream T.1,RAF,0.0,Little Rissingto...,U.K.,1974
12845,01-NOV-1974,Antonov An-2,"Aeroflot, Tyumen",6.0,near Surgut,Russia,1974
12847,05-NOV-1974,Tupolev Tu-104B,"Aeroflot, Far East",0.0,Chita Airport (HTA),Russia,1974
12848,05-NOV-1974,Antonov An-2TP,"Aeroflot, West Siberia",0.0,Aleandrovskoye,Russia,1974
12849,06-NOV-1974,Lockheed L-188PF Electra,Reeve Aleutian Airways,0.0,Anchorage Intern...,USA,1974
12850,06-NOV-1974,NAMC YS-11A-320,Reeve Aleutian Airways,0.0,Anchorage Intern...,USA,1974
12851,06-NOV-1974,Douglas C-47 (DC-3),FAA,0.0,Anchorage Intern...,USA,1974
12853,07-NOV-1974,BN-2A Islander,GAC,3.0,near SA nderborg,Denmark,1974
12855,12-NOV-1974,Douglas C-47A (DC-3),Brazilian AF,7.0,"TomA-AAu, PA",Brazil,1974
12856,13-NOV-1974,Nord 2501D Noratlas,Portuguese AF,0.0,Funchal Airport ...,Portugal,1974
12857,14-NOV-1974,Ilyushin Il-14M,"Aeroflot, Ukraine",6.0,near Kiev-Zhulhyany A...,Ukraine,1974
12858,15-NOV-1974,Douglas C-47A (DC-3),OASIS,1.0,near Manila Internati...,Philippines,1974
12860,20-NOV-1974,Boeing 747-130,Lufthansa,59.0,Nairobi Internat...,Kenya,1974
12861,20-NOV-1974,Douglas C-47A (DC-3),Ethiopian Airlines,2.0,Soddu Airport (SXU),Ethiopia,1974
12862,21-NOV-1974,Dassault Falcon 20E,Air Taxi Co.,2.0,near Kermanshah Airpo...,Iran,1974
12863,22-NOV-1974,Cessna 500 Citation I,Alpa,3.0,near Barcelona Airpor...,Spain,1974
12864,22-NOV-1974,Vickers Super VC10-1151,British Airways,1.0,"Dubai, Tripoli, ...",Tunisia,1974
12865,23-NOV-1974,DC-9-32,JAT,0.0,near Beograd Airport ...,Serbia,1974
12867,28-NOV-1974,Douglas C-54B (DC-4),"China Airlines, op.for Air Cambodge",3.0,near An Loc,Vietnam,1974
12868,29-NOV-1974,Douglas C-54D (DC-4),Honduras AF,4.0,near Cerro de la Muerte,Costa Rica,1974
12870,01-DEC-1974,Boeing 727-231,TWA,92.0,"Upperville, VA",USA,1974
